Title,Subject Description,SubjectID,Subject,Course Number,Section,CRN,InstructorID,Instructor,MeetingDays,Campus,Instructional Methods
Intermediate Accounting ILecture,Accounting,1,ACCT,3110,1,44367,419,Laurel Franzen,MW,Westchester,Classroom Based Course
Intermediate Accounting ILecture,Accounting,1,ACCT,3110,2,47456,419,Laurel Franzen,MW,Westchester,Classroom Based Course
Intermediate Accounting IILecture,Accounting,1,ACCT,3120,1,44368,764,Zining Li,TT,Westchester,Classroom Based Course
Strategic & Manager'l AnalysisLecture,Accounting,1,ACCT,3130,1,44371,102,Candice Reid,MW,Westchester,Classroom Based Course
Accounting Info SystemsLecture,Accounting,1,ACCT,3140,1,44374,649,Shan Wang,MW,Westchester,Classroom Based Course
InternshipLecture,Accounting,1,ACCT,3197,1,44373,,,NA,Westchester,Other
Advanced AccountingLecture,Accounting,1,ACCT,4110,1,44360,536,Nancy Coster,MW,Westchester,Classroom Based Course
Federal Income TaxationLecture,Accounting,1,ACCT,4120,1,40547,288,James Plecnik,MW,Westchester,Classroom Based Course
"Acct Ethics, Prof, & Publ IntLecture",Accounting,1,ACCT,4150,1,40549,594,Richard Minot,TT,Westchester,Classroom Based Course
AuditingLecture,Accounting,1,ACCT,4160,1,44619,62,Anthony Menendez,TT,Westchester,Classroom Based Course
Advanced Accounting TopicsLecture,Accounting,1,ACCT,5110,1,44487,536,Nancy Coster,MW,Westchester,Classroom Based Course
"Acct Ethics, Prof, & Publ IntLecture",Accounting,1,ACCT,5150,1,46005,594,Richard Minot,TT,Westchester,Classroom Based Course
SS: Tax Research and StrategyLecture,Accounting,1,ACCT,5198,2,46252,,,NA,Westchester,Other
SS: Acct Analytics Dec MakingLecture,Accounting,1,ACCT,5198,3,48406,649,Shan Wang,W,Westchester,Classroom Based Course
SS: Federal Income TaxationLecture,Accounting,1,ACCT,5198,4,49234,288,James Plecnik,MW,Westchester,Classroom Based Course
SS: AuditingLecture,Accounting,1,ACCT,5198,5,49235,62,Anthony Menendez,TT,Westchester,Classroom Based Course
Financial ReportingLecture,Accounting,1,ACCT,6110,1,44489,707,Timothy Haight,M,Westchester,Classroom Based Course
Tax Research and StrategyLecture,Accounting,1,ACCT,6120,1,44491,288,James Plecnik,W,Westchester,Classroom Based Course
Tax Technlgy & TransformationLecture,Accounting,1,ACCT,6121,1,48003,695,Terry Wang,F,Westchester,Classroom Based Course
Income Taxation Corps/ShrhldrsLecture,Accounting,1,ACCT,6122,1,44990,,,Th,Westchester,Classroom Based Course
Accounting for Income TaxesLecture,Accounting,1,ACCT,6127,1,48511,,,M,Westchester,Classroom Based Course
Acct Analytics for Dec MakingLecture,Accounting,1,ACCT,6130,1,47459,649,Shan Wang,W,Westchester,Classroom Based Course
Internship ExperienceLecture,Accounting,1,ACCT,6197,1,44495,695,Terry Wang,NA,Online,Fully Online Course
SS:Programming for Data MgtLecture,Accounting,1,ACCT,6198,1,44745,758,Youyou Tao,Th,Westchester,Classroom Based Course
SS: Data Model Dec AnalysisLecture,Accounting,1,ACCT,6198,2,45405,364,Kala Seal,M,Westchester,Classroom Based Course
SS: International FinanceLecture,Accounting,1,ACCT,6198,3,48650,678,Susan Elkinawy,W,Westchester,Classroom Based Course
SS: Advanced Corporate FinanceLecture,Accounting,1,ACCT,6198,4,46720,750,Yan Zhang,M,Westchester,Classroom Based Course
SS: Fncl Statmnt Analys & ValuLecture,Accounting,1,ACCT,6198,5,47462,260,Hai Tran,T,Westchester,Classroom Based Course
SS: Digital TransformationLecture,Accounting,1,ACCT,6198,6,47835,39,Ana Gadh,Th,Westchester,Classroom Based Course
SS: Data Visualztn and GISLecture,Accounting,1,ACCT,6198,7,48995,6,Ace Vo,W,Westchester,Classroom Based Course
Foundation of the USAF ILecture,Aerospace Studies,2,AERO,100,1,41580,635,Sarah Garcia,T,Westchester,Classroom Based Course
Foundation of the USAF ILecture,Aerospace Studies,2,AERO,100,2,40001,635,Sarah Garcia,NA,Westchester,Classroom Based Course
Laboratory ILab,Aerospace Studies,2,AERO,102,1,40002,440,Luke Preslar,T,Westchester,Classroom Based Course
