Title,Subject Description,Subject,Course Number,Section,Hours,CRN,Term,Instructor,Meeting Times,Campus,Status,Attribute,Instructional Methods,Linked Sections,
Intermediate Accounting ILecture,Accounting,ACCT,3110,01,4,44367,Fall 2023,"Franzen, Laurel (Primary) ","Monday,WednesdaySMTWTFS09:55  AM - 11:35  AM Type: In-Person Building: Hilton Building Room: 109 Start Date: 08/28/2023 End Date: 12/15/2023",Westchester, FULL: 0 of 26 seats remain. 0 of 5 waitlist seats remain.,,Classroom Based Course,,
Intermediate Accounting ILecture,Accounting,ACCT,3110,02,4,47456,Fall 2023,"Franzen, Laurel (Primary) ","Monday,WednesdaySMTWTFS11:50  AM - 01:30  PM Type: In-Person Building: Hilton Building Room: 109 Start Date: 08/28/2023 End Date: 12/15/2023",Westchester, FULL: 0 of 26 seats remain. 0 of 5 waitlist seats remain.,,Classroom Based Course,,
Intermediate Accounting IILecture,Accounting,ACCT,3120,01,4,44368,Fall 2023,"Li, Zining (Primary) ","Tuesday,ThursdaySMTWTFS09:55  AM - 11:35  AM Type: In-Person Building: Hilton Building Room: 109 Start Date: 08/28/2023 End Date: 12/15/2023",Westchester,13 of 27 seats remain.5 of 5 waitlist seats remain.,,Classroom Based Course,,
Strategic & Manager'l AnalysisLecture,Accounting,ACCT,3130,01,4,44371,Fall 2023,"Wang, Shan (Primary) ","Monday,WednesdaySMTWTFS11:50  AM - 01:30  PM Type: In-Person Building: Hilton Building Room: 103 Start Date: 08/28/2023 End Date: 12/15/2023",Westchester,8 of 27 seats remain.,,Classroom Based Course,,
Accounting Info SystemsLecture,Accounting,ACCT,3140,01,4,44374,Fall 2023,"Reid, Candice (Primary) ","Monday,WednesdaySMTWTFS08:00  AM - 09:40  AM Type: In-Person Building: Hilton Building Room: 107 Start Date: 08/28/2023 End Date: 12/15/2023",Westchester, FULL: 0 of 25 seats remain. 3 of 5 waitlist seats remain.,,Classroom Based Course,,
InternshipLecture,Accounting,ACCT,3197,01,1,44373,Fall 2023,,NoneSMTWTFS -  Type: Other Building: None Room: None Start Date: 08/28/2023 End Date: 12/15/2023,Westchester,10 of 10 seats remain.,,Other,,
Advanced AccountingLecture,Accounting,ACCT,4110,01,4,44360,Fall 2023,"Coster, Nancy (Primary) ","Monday,WednesdaySMTWTFS08:00  AM - 09:40  AM Type: In-Person Building: Hilton Building Room: 119 Start Date: 08/28/2023 End Date: 12/15/2023",Westchester,8 of 24 seats remain.,,Classroom Based Course,,
Federal Income TaxationLecture,Accounting,ACCT,4120,01,4,40547,Fall 2023,"Plecnik, James (Primary) ","Monday,WednesdaySMTWTFS03:40  PM - 05:20  PM Type: In-Person Building: Hilton Building Room: 035 Start Date: 08/28/2023 End Date: 12/15/2023",Westchester,1 of 24 seats remain.,,Classroom Based Course,,
"Acct Ethics, Prof, & Publ IntLecture",Accounting,ACCT,4150,01,4,40549,Fall 2023,"Minot, Richard (Primary) ","Tuesday,ThursdaySMTWTFS01:45  PM - 03:25  PM Type: In-Person Building: Hilton Building Room: 031 Start Date: 08/28/2023 End Date: 12/15/2023",Westchester,4 of 24 seats remain.,INT: Ethics & Justice,Classroom Based Course,,
AuditingLecture,Accounting,ACCT,4160,01,4,44619,Fall 2023,"Menendez, Anthony (Primary) ","Tuesday,ThursdaySMTWTFS11:50  AM - 01:30  PM Type: In-Person Building: Hilton Building Room: 109 Start Date: 08/28/2023 End Date: 12/15/2023",Westchester,8 of 24 seats remain.,,Classroom Based Course,,
