name,department,rating,count_ratings,difficulty,would_retake
Jennifer Abe-Kim,Psychology,4.1,14,3.6,N/A
Brian Foster,American Studies,4.4,58,1.5,N/A
Najwa Al-Qattan,History,3.4,73,3.5,75%
Dennis Zill,Mathematics,1.9,66,4.2,N/A
William Fulco,Anthropology,4.8,19,1.9,100%
Catie Mihalopoulos,Classics,3.9,13,2.4,N/A
Tom Dowd,Communication Studies,4.1,41,2.5,67%
Pat Oliver,Communication Studies,4.7,27,1.3,100%
Ed Gray,Business,2.8,21,3,N/A
Richard Cook,Mathematics,4.0,12,2.3,N/A
Robert Singleton,Economics,2.4,32,2.9,N/A
Roy Houston,Science,4.1,16,2.3,N/A
Tina Choe,Chemistry,4.6,38,3.3,N/A
Debra Rosser,Science,5.0,6,2,N/A
Gary Kuleck,Science,3.8,16,2.3,N/A
Jasper Blystone,Philosophy,2.9,48,2.2,N/A
Lawrence Jelinek,History,2.9,46,2.3,N/A
Robin Miskolcze,English,3.5,25,3.2,100%
Mary Breden,Music,3.9,29,3.3,N/A
Stacy Burns,Social Science,4.0,50,2.8,100%
Brian Moss,Fine Arts,2.8,26,4.1,50%
Bob Ackley,Fine Arts,4.0,8,2,N/A
Karl Snider,Music,4.8,17,1.3,N/A
Katharine Noon,Fine Arts,4.2,20,2.7,67%
Caroline LaMonda,Communication Studies,4.9,45,1.3,100%
Chuck Rosenthal,English,3.4,27,2.2,50%
Pat Connolly,Communication Studies,3.3,40,1.9,N/A
Larry Bernard,Psychology,3.5,35,3.3,N/A
John Dorsey,Science,4.3,17,2.7,100%
Lucy Wilson,English,3.4,33,2.8,N/A
Ralph Quinones,Business,4.7,86,3.6,100%
Michael Vanbiezen,Mathematics,4.3,18,2.5,50%
Nancy Jabbra,Women's Studies,1.7,30,4.1,N/A
Joseph Tiedemann,History,3.6,49,3.8,N/A
Mary Ingham,Philosophy,4.1,21,3.1,100%
Ross Bengel,Accounting,4.5,16,4.1,N/A
Michael O'Sullivan,Psychology,3.7,22,4.1,N/A
Jose Badenes,Languages,4.1,27,3.2,N/A
Allen Gray,Business,2.1,65,3.3,0%
Megan Granich,Mathematics,4.5,124,2.6,N/A
Mark Morelli,Philosophy,3.1,36,2.9,0%
Curtis Bennett,Mathematics,4.5,30,2.8,N/A
John Page,Engineering,3.5,38,4,0%
Seid Zekavat,Economics,2.8,41,2.4,N/A
James Hanink,Philosophy,3.2,28,3.3,N/A
Stephanie August,Computer Science,2.7,25,3.6,N/A
Philip Dorin,Computer Science,4.3,13,3.5,100%
Reyna Valenzuela-Cummings,Communication Studies,4.3,14,1.4,N/A
Kate Lewis,Music,5.0,21,1.1,N/A
Christina Gold,History,4.3,22,2.4,0%
Ernesto Sweeney,History,3.5,35,2.6,N/A
David Killoran,English,3.6,17,3.8,N/A
Karenmary Davalos,Ethnic Studies,3.4,33,3.8,50%
Steve Crissanthos,History,4.2,43,2.8,100%
M. Cathy McElwain,Biology,2.4,33,3.6,23%
Bruno Rota,Languages,3.2,13,2.5,N/A
Jeff Sanny,Physics,4.6,29,3.1,80%
Thomas White,Business,4.6,25,1.6,N/A
Annie Liu,Marketing,3.7,47,2.7,N/A
Richard Rolfs,History,3.2,50,3.1,N/A
Thomas Zachariah,Mathematics,3.3,57,2.8,45%
Connie Weeks,Mathematics,4.1,41,2.1,N/A
Cal Caswell,Business,4.5,21,1.5,N/A
Lori Bergstrom,Communication Studies,4.2,40,1.9,N/A
Jose Saez,Engineering,4.6,21,1.9,N/A
Ronald Barrett,Psychology,2.0,69,4,N/A
Ernesto Colin,Education,3.1,9,2.4,100%
Richard Gilbert,Psychology,3.5,42,3.2,82%
Kathleen Norris,Communication Studies,4.5,37,2.3,100%
Janie Streckenrider,Political Science,4.0,15,1.7,100%
George Dasaro,Accounting,3.8,36,4,N/A
Leah Pate,English,4.4,29,3.1,N/A
Gregori Viens,Film & Television,2.7,24,3,N/A
Eduardo Morales,Mathematics,3.5,38,2.8,N/A
Scott Cameron,Philosophy,3.6,61,3.8,N/A
James Devine,Economics,2.4,73,3.7,28%
Laurie Pintar,History,4.4,80,3.7,N/A
Alicia Partnoy,Languages,4.1,19,2,N/A
Fred Kiesner,Business,4.1,44,2.8,N/A
Linda Bannister,English,3.3,14,3.3,N/A
Chuck Erven,Theater,2.5,20,3.3,0%
Eric Ladizinsky,Physics,3.5,19,2.4,N/A
Lev Abolnikov,Mathematics,2.5,55,3.4,N/A
Anthony Smulders,Science,2.3,47,4.2,N/A
Deena Gonzalez,Ethnic Studies,2.5,17,3.9,N/A
Marina Moevs,Fine Arts,4.0,24,3.2,50%
Alan Falcon,Accounting,4.3,31,3.5,N/A
Mladen Milicevic,Film,4.3,15,2.7,89%
James Fredericks,Theology,3.1,31,3.4,N/A
Suzanne Larson,Mathematics,4.4,22,2.2,50%
Rene Topalian,Biology,4.0,38,3.2,100%
Susan Scheibler,Film,4.1,43,2.3,94%
Rodger Pardee,Film,4.6,32,2.6,84%
Erica Byrne,Film,3.6,8,2.8,N/A
Michael Genovese,Political Science,4.4,19,3,100%
Mahmoud Nourayi,Accounting,3.0,50,3.5,50%
John Connolly,Theology,4.0,28,2.6,N/A
Seth Thompson,Political Science,2.8,25,4,N/A
Jane Brucker,Fine Arts,3.6,21,3.3,80%
William Pupa,Fine Arts,4.5,26,2.3,100%
Wilkie Au,Theology,3.9,15,2.6,N/A
Judith Foy,Psychology,3.7,40,3.8,0%
Sylvia Morales,Film,3.1,8,2.8,N/A
Kathy Yang,Languages,4.9,25,2.8,100%
John Grever,History,4.4,17,2.2,N/A
Caprice Walker,Theater,4.8,9,1.4,N/A
Al Hayashi,Business,3.2,30,3.3,N/A
John Stewart,Film,2.8,17,2.6,N/A
Barbara Rico,English,3.9,31,3.4,67%
Thomas Rausch,Theology,3.1,25,4,50%
Juan Mah Y Busch,English,3.8,43,2.9,55%
John Kochian,Communication Studies,4.6,37,1.2,N/A
Nina Reich,Communication Studies,4.6,17,2.1,50%
Jon Saxon,Mathematics,2.7,46,3,N/A
Lawrence Tritle,History,3.9,40,3.3,N/A
Michele Mega,Communication Studies,3.8,26,3,N/A
David Marple,Sociology,3.8,46,1.9,100%
Patrick Shanahan,Mathematics,4.4,32,2.6,100%
Lisa Harris,Psychology,3.9,11,2.3,N/A
Renate Thimester,Economics,1.8,71,3.5,N/A
Wilfredo Flores,Mathematics,2.9,78,2.7,N/A
Gary Sibeck,Business,3.4,32,2.1,100%
David Hardy,Psychology,3.5,43,2.7,75%
John P. Waggoner,Biology,3.6,23,3.6,N/A
Benjamin Bobo,Finance,3.1,23,3.8,0%
Labina Ula,English,2.8,23,3.3,N/A
Jeff Gale,Business,2.3,17,3.3,0%
Paul Rude,Engineering,3.8,7,2.7,100%
Dave Smith,Mathematics,3.3,27,3,N/A
Dionne Bennett,Women's Studies,2.7,46,2.9,0%
Richard Rohrer,Film,4.4,27,1.7,100%
Michael Barclay,Theology,4.7,12,2.5,N/A
Michael Grady,Mathematics,2.5,37,4.2,N/A
George Hess,Business,4.2,26,1.4,N/A
Matt Nelson,Communication Studies,4.4,21,1.9,N/A
Aimee Koeplin,Philosophy,3.6,27,2.4,0%
Lowell Herr,Philosophy,2.0,40,3.3,N/A
Marc Lony,Languages,3.7,24,3,86%
William Trott,Engineering,3.3,13,3.3,0%
Ron Marasco,Theater,4.9,17,2.1,100%
Barbara Busse,Communication Studies,2.5,2,3,N/A
Luis Proenca,Film,3.2,11,1.9,60%
Alan Cherry,Accounting,3.1,41,3.6,N/A
Hiromi Kinjo,Languages,3.4,17,2.7,50%
